 x1, x2, x3, x4, x5, x6, x7, x8, x9, x10, x11, x12, x13, x14, x15, x16, x17, x18, x19, x20, x21, x22, x23, x24, x25, x26, x27, x28, x29, x30, x31, x32, x33, x34, x35, x36, x37, x38, x39, x40, x41, x42, x43, x44, x45, x46, x47, x48, x49, x50, x51, x52, x53, x54, x55, x56, x57, x58, x59, x60, x61, x62, x63, x64, x65, x66, x67, x68, x69, x70, x71, x72, x73, x74, x75, x76, x77, x78, x79, x80, x81, x82, x83, x84, x85, x86, x87, x88, x89, x90, x91, x92, x93, x94, x95, x96, x97, x98, x99, x100,y
1,24,14,1,-13,2,-15,19,-8,-42,-11,-17,-49,36,36,-32,35,9,20,-26,44,-8,47,20,0,-10,40,-8,45,44,38,2,17,1,-48,20,19,-46,-12,27,-38,27,26,30,13,-22,15,-37,37,-16,-47,-3,-7,16,-34,43,-45,-44,-16,16,16,38,-33,49,-46,37,18,-11,41,-44,-34,19,33,42,-2,-39,-31,29,-26,23,-37,-23,-31,-28,9,-15,31,15,-43,32,-20,-11,19,-36,-13,-10,-50,22,29,7,68.6
1,28,45,-25,-24,3,-11,-46,-12,35,-22,-40,14,-28,46,36,31,48,16,-39,-46,-3,-42,-6,33,39,-3,-28,39,-32,-50,-39,12,12,-48,39,31,-43,43,35,42,37,46,5,25,7,-10,-28,4,23,50,9,-31,-43,19,18,46,32,40,0,-50,7,-23,12,35,-21,-34,15,-13,25,-1,-22,12,-40,0,-48,18,40,-26,-29,12,-26,-4,-2,48,31,32,10,13,22,26,13,45,-47,41,29,49,24,-7,-15,-10.9
1,-2,8,-20,26,19,30,29,-14,-15,19,-27,14,43,20,28,7,0,9,-34,29,-20,42,-43,41,11,49,19,10,22,-39,45,36,20,41,12,-46,-14,-10,-10,22,-42,-21,-49,18,49,29,-26,-35,-13,-10,44,-16,48,-49,-26,9,16,10,-32,-47,21,29,39,-44,-14,-34,-40,22,-28,-34,-41,48,-4,27,15,-40,5,5,42,9,11,2,9,8,-31,-1,33,35,-42,17,4,-4,-4,-8,2,-2,-25,-21,36,143.1
1,-3,-39,46,-6,-27,-12,25,-16,10,-21,42,-32,40,-7,-7,-36,-22,8,47,-38,17,14,16,29,26,25,47,40,16,-25,25,-38,-13,-14,7,10,25,48,10,-16,-23,-32,-32,33,-23,11,13,6,-32,-24,18,1,6,-50,-21,-19,-9,43,-30,-44,-33,45,35,-30,48,-43,-3,22,-45,-44,-45,-18,-26,-27,31,-32,0,-6,24,-16,20,-43,36,-25,24,31,-28,-36,23,-42,37,7,19,22,27,16,29,40,-13,51
1,0,47,-42,32,37,48,-21,-46,-37,-11,-6,-2,-42,2,50,50,-25,-4,38,-44,36,46,9,-8,14,-20,35,47,26,25,50,-25,-13,-42,24,40,22,19,11,36,-43,21,50,32,-28,49,31,-36,-6,18,-30,46,-21,29,-13,9,26,39,5,-33,-21,5,-8,-18,-21,32,38,-50,0,-36,36,7,36,1,-46,24,-1,35,38,10,-32,-43,5,-37,3,9,23,45,-37,-23,-39,-42,-2,-31,-10,27,-49,44,28,26.4
1,-33,-42,-21,-9,10,31,-5,-17,46,-20,-29,5,-36,45,27,-22,-37,-49,17,-43,-36,10,-32,-28,-42,-12,-22,35,-45,38,-22,-28,12,-26,13,-29,21,-42,-29,16,-46,-8,38,35,-48,-20,29,-34,-19,-5,-27,-39,-45,-42,50,30,-38,-23,-20,-33,31,-25,-11,-7,-1,-48,14,36,-40,1,1,31,43,-46,15,12,-16,-6,-6,-19,39,17,-8,10,-9,-9,-11,3,-16,-14,20,-35,11,-41,-26,26,28,4,11,-182.2
1,4,-45,28,-16,14,33,15,-25,33,-42,19,-36,14,-48,-28,-27,-7,-20,-21,13,14,15,-18,-5,42,-43,19,17,1,-27,-23,21,-22,-46,-46,42,3,-14,34,-48,-6,2,33,24,-30,-46,48,14,-16,43,43,15,-27,-26,-41,-36,49,-5,-3,-35,-16,24,37,-22,-6,7,36,48,43,19,16,-47,38,-2,27,-43,2,-10,-13,3,-18,-21,-33,-29,-30,43,-49,35,-47,-2,50,-47,-29,36,-19,-18,-7,-33,46,-52.8
1,-49,2,11,-46,-45,-42,32,-37,10,-29,-34,29,-30,-4,12,-9,16,-29,-7,-34,-26,41,-35,45,29,18,-25,-40,-40,-42,-45,28,-23,16,33,-18,24,14,-39,50,35,-22,-5,-46,24,-44,-38,-45,-23,5,-29,-32,-5,-48,-38,40,20,-47,50,-4,29,-46,-26,-45,-14,-44,-47,-41,20,-35,26,-30,-7,-30,42,33,-24,20,4,-30,-26,-9,-46,-15,-7,33,-25,-37,36,41,9,-20,46,-1,-49,48,5,-45,-43,-168.6
1,41,37,-1,28,46,19,-15,28,11,-46,48,31,45,-12,1,-21,-3,-17,-30,10,36,-39,36,-35,23,-16,34,20,6,39,-7,-4,-9,42,-27,-14,-24,-26,30,38,-22,27,-16,-28,31,36,-32,-23,35,-12,4,20,-35,-45,2,4,-11,-15,-26,11,40,-17,-43,-20,42,47,16,-33,-29,-39,-46,-1,4,-45,-12,-16,7,6,-23,-9,10,31,28,-8,36,46,46,42,-20,-31,2,36,-31,-25,-35,-40,-28,-3,-23,188.1
1,-7,8,49,8,28,20,12,-39,-24,34,-12,-17,-6,-31,-40,36,21,-45,31,12,-49,17,31,37,2,-45,18,12,-23,31,5,-14,-46,3,11,32,-28,39,43,-2,23,48,-2,-34,33,8,18,3,-20,-36,32,-19,-3,-22,35,49,-17,-32,10,-23,50,-35,-21,20,-16,6,2,7,-5,-40,21,-33,-43,-32,50,40,-7,17,-41,23,31,7,20,-22,35,-30,-24,34,-45,3,-40,-46,-16,-44,24,18,12,42,41,28.7
