 x1, x2, x3, x4, x5, x6, x7, x8, x9, x10, x11, x12, x13, x14, x15, x16, x17, x18, x19, x20, x21, x22, x23, x24, x25, x26, x27, x28, x29, x30, x31, x32, x33, x34, x35, x36, x37, x38, x39, x40, x41, x42, x43, x44, x45, x46, x47, x48, x49, x50, x51, x52, x53, x54, x55, x56, x57, x58, x59, x60, x61, x62, x63, x64, x65, x66, x67, x68, x69, x70, x71, x72, x73, x74, x75, x76, x77, x78, x79, x80, x81, x82, x83, x84, x85, x86, x87, x88, x89, x90, x91, x92, x93, x94, x95, x96, x97, x98, x99, x100, x101, x102, x103, x104, x105, x106, x107, x108, x109, x110, x111, x112, x113, x114, x115, x116, x117, x118, x119, x120, x121, x122, x123, x124, x125, x126, x127, x128, x129, x130, x131, x132, x133, x134, x135, x136, x137, x138, x139, x140, x141, x142, x143, x144, x145, x146, x147, x148, x149, x150, x151, x152, x153, x154, x155, x156, x157, x158, x159, x160, x161, x162, x163, x164, x165, x166, x167, x168, x169, x170, x171, x172, x173, x174, x175, x176, x177, x178, x179, x180, x181, x182, x183, x184, x185, x186, x187, x188, x189, x190, x191, x192, x193, x194, x195, x196, x197, x198, x199, x200,y
1,40,4,35,12,0,42,17,-33,-39,36,-47,-35,-15,-6,-37,-1,-37,48,-28,28,1,15,-38,46,-5,22,4,44,29,-20,1,-16,34,-48,46,-17,44,-21,-34,-46,31,-30,37,-35,14,50,15,-6,14,37,-29,31,-32,50,-8,-21,-13,46,-27,-35,43,-10,-1,26,-8,-39,26,-15,-10,42,-44,-30,-39,43,-48,-8,8,-17,2,-29,36,23,-49,-47,-11,-7,50,26,-45,39,8,48,-22,23,-11,-13,34,-36,-12,40,-44,-40,27,34,-48,29,42,-23,28,-7,-2,13,-34,-34,-17,-29,9,-18,13,-20,-30,-30,44,-36,44,-17,1,-7,-3,6,-17,-31,16,26,20,-15,4,11,12,-19,-46,26,10,37,42,43,-43,-33,-26,20,-3,-40,41,-9,-25,0,-10,-8,43,37,14,42,23,-20,17,-8,15,37,19,43,34,23,18,-6,9,-24,-48,-18,-7,44,-48,40,-47,9,47,45,25,-14,-47,-17,40,17,-25,-22,13,8,-14,44,-5,143.6
1,-46,36,45,28,-30,-46,-48,-4,-43,-15,39,-50,-47,-6,-47,12,-43,15,-48,-7,18,-15,49,-50,10,-24,14,35,12,7,-21,-17,-41,40,27,-21,45,29,25,18,30,13,18,33,23,-13,-40,30,-49,-38,-27,-15,-36,38,-14,24,-36,16,8,-8,39,3,25,48,-41,1,-24,-47,-20,-50,21,26,-21,-46,-25,-48,-9,-49,-2,-41,31,-13,-40,45,-25,-38,-16,-11,28,9,-3,17,-39,-28,14,37,23,41,6,19,7,-24,-39,3,47,-14,-29,-46,-47,19,-37,34,-44,-27,-6,-19,-14,29,-14,30,-13,33,-4,-36,21,27,-49,-40,-17,7,29,40,0,6,-8,-4,42,-21,0,12,49,-21,-5,-46,3,40,-49,5,-16,-47,-16,21,2,31,35,-27,-27,2,-17,6,-41,28,-5,9,-50,4,21,42,33,-29,-31,-3,-34,15,-33,19,-30,-32,40,4,38,-26,41,-10,21,-9,-21,44,44,-22,-1,-48,-45,10,-23,-45,30,48,14,-38
1,-21,35,33,26,-49,-37,10,-14,50,28,-24,-31,16,-34,26,22,37,-33,-50,-4,-40,-22,11,29,50,-30,-45,22,17,-48,-49,12,38,0,-47,5,-20,13,41,-21,-9,33,-35,23,49,41,-40,35,-43,-40,47,34,-46,7,12,-47,-6,17,-9,-40,-14,-8,22,-27,43,25,-6,-28,-46,-50,-33,-5,34,-18,34,32,40,10,-17,47,20,-21,31,-10,37,-8,-41,-20,26,1,-44,-39,43,-6,-50,1,35,-6,23,39,-6,7,50,-23,5,-1,26,-6,-42,-42,-9,28,-13,38,34,-27,46,44,3,21,-6,-25,-2,-14,19,-2,4,4,8,-24,-42,-48,-1,-42,46,-46,7,21,-2,16,29,5,-41,-34,-8,44,-45,-46,37,-25,-9,47,0,40,49,-31,-13,2,-11,12,-5,-3,14,44,-29,-25,48,29,47,-38,-40,-9,17,-31,-27,26,29,-21,30,-19,4,37,-23,-47,26,-24,39,30,-6,44,-9,39,-9,21,-1,-22,12,-4,-44,164.8
1,8,-26,33,16,42,-48,39,-17,-3,34,-38,29,-13,15,22,-43,-9,14,46,37,-42,40,44,47,47,14,-39,-26,-25,-26,48,0,-2,30,32,-11,-2,-14,-12,46,-30,-34,-10,7,32,28,-20,-28,-8,-24,25,-34,32,18,29,-6,48,41,18,39,-36,-19,-12,12,-39,36,18,-25,-28,-45,37,-8,-28,43,15,-47,21,46,42,29,38,16,45,19,50,23,29,47,13,-4,35,-7,-6,40,-45,-29,25,-11,-4,47,-6,-17,-46,-18,-25,20,-15,46,15,43,24,-32,-26,-16,3,-27,-43,-19,-31,-14,-7,21,30,37,10,35,-43,-16,-27,4,48,-17,3,-49,16,28,-13,17,-10,18,-24,30,36,0,-36,-12,24,38,19,9,-27,-38,46,19,49,5,3,23,6,-8,-24,-31,-8,-5,-30,24,-28,-26,-44,-22,42,-18,-42,28,-1,39,32,39,26,1,-3,15,-21,-41,-16,44,14,3,16,36,12,8,-46,20,-48,42,-7,-25,-35,147.5
1,-1,-31,23,-2,44,-34,47,32,49,35,-27,-1,48,5,-6,-44,5,-13,-13,-43,-47,-28,-15,11,44,-46,14,1,-3,5,-18,13,24,-46,-40,-16,-29,23,-35,-31,7,-45,-16,-30,-24,28,44,31,31,-20,4,34,-32,40,-39,28,44,-9,-22,-43,12,10,-14,-49,15,-4,-15,2,-32,-33,21,-9,-28,21,-23,-36,-36,-30,45,45,0,-2,-5,-15,-13,-28,-38,48,13,-9,21,-26,-50,-44,-25,-19,-32,-23,33,-48,-6,-31,-7,-18,40,20,-4,20,41,-10,15,-44,4,26,-9,42,48,-30,5,10,11,-25,0,-23,48,-9,-25,-35,18,-43,-33,28,44,10,-41,-1,46,-29,-31,2,11,0,-25,-35,-25,-18,23,-28,2,44,32,-38,35,48,-44,32,-12,-19,47,23,-46,-37,0,48,-11,-24,-3,-50,-3,-18,-31,25,32,-6,6,-44,26,-22,-22,45,38,26,-44,22,-11,29,-31,27,-41,-35,-35,-36,45,16,-39,50,8,-26,16,-115.4
1,-46,6,35,29,-13,45,-16,-41,-13,-22,-47,-19,32,29,-47,3,-33,33,-12,11,42,3,26,22,-37,-43,0,29,15,24,-5,-14,47,46,31,50,41,-35,-41,44,-41,-38,-26,42,8,-23,-40,-9,26,-1,18,18,18,-40,-45,-2,34,5,-24,-35,-21,-13,1,-25,50,-19,-26,6,-38,50,-1,-28,-38,-11,30,-14,16,40,27,-42,-12,-39,-8,23,-29,-3,-30,-46,-48,-4,-31,-19,0,-14,-28,-1,18,-38,-46,-4,-38,-31,-16,41,8,-37,-24,40,20,19,48,24,30,-11,-4,-50,37,16,22,39,29,41,-31,-22,-23,-43,-7,11,-31,-3,-44,-19,16,-43,38,40,-30,30,29,6,-1,27,-20,45,-35,26,12,-49,-8,-17,6,37,-27,-9,-36,-34,-2,-27,-7,18,20,0,15,-49,7,-31,7,-7,49,-15,50,-3,-39,-21,-8,44,21,-47,11,29,-48,-33,15,42,8,-5,-42,23,18,1,-44,-47,17,-13,21,40,6,-23,50,121.1
1,5,13,49,18,-10,44,26,-17,-20,-5,45,-41,-3,28,-10,-11,-49,36,-37,24,-31,-20,30,-27,14,-33,10,3,-11,38,2,44,-34,-34,12,-28,26,-47,6,-44,-1,-34,32,46,10,-29,-16,11,-44,-37,-49,43,-6,31,32,-43,14,-9,-24,-47,45,-5,13,27,11,41,50,-47,45,-29,26,-7,-13,7,-12,13,28,-11,-27,1,2,-26,-41,12,22,41,-15,-15,-19,12,-46,43,-44,-16,-15,-17,-26,-16,-48,-32,5,28,-23,8,-16,16,-30,29,21,-40,46,39,-16,-46,1,-45,45,2,-43,42,-37,28,0,-31,-39,36,-31,-48,-31,-29,-30,-9,50,-2,49,50,30,36,28,-34,46,23,21,46,27,38,-49,-13,-10,25,-21,3,-32,29,-11,-20,14,8,-18,0,29,-32,41,-6,-18,5,-6,28,-10,38,10,-49,-23,-19,48,20,-32,49,-43,8,-11,-48,-39,7,31,0,3,-39,24,1,11,-32,-14,-33,13,18,22,23,-38,-98.7
1,29,10,22,30,37,-48,27,7,-29,-9,-20,29,-4,-18,6,-47,-38,22,-28,40,-5,24,-34,14,-41,-17,-24,-7,22,15,5,0,-26,44,-21,28,46,23,-50,33,-37,-20,12,10,12,34,-21,-10,6,1,-20,-50,41,-38,14,16,-4,6,-41,-33,-30,-20,-17,-39,-27,12,5,36,-50,5,18,-36,35,-21,-10,-38,-37,19,2,-15,-31,-2,-15,27,11,16,-8,23,-29,1,6,-42,-2,39,36,21,-34,-10,6,-33,45,41,-19,-5,36,21,7,15,-45,-42,50,-26,7,-15,17,34,-50,-41,6,38,10,-39,46,24,50,-3,-5,32,37,17,49,31,7,46,42,-7,-18,-2,-43,-13,7,-43,-22,30,-42,45,13,-42,-47,35,46,-20,12,8,-47,11,-46,-2,-42,8,32,-43,-46,-46,-48,47,-37,-15,-6,-29,22,17,45,50,-4,19,45,25,-7,14,-25,-12,44,37,12,48,-37,-17,-39,-28,41,43,-21,11,48,48,7,27,49,67.8
1,-49,14,-13,18,8,-48,31,43,13,-29,-15,-23,-3,-10,-30,-17,18,-33,-3,-50,-21,-15,7,38,-20,-32,1,-23,-9,-22,-24,-8,42,-21,27,-34,-19,7,-42,45,28,-40,-29,41,0,-9,-26,-33,-25,-13,-32,-30,22,-9,-43,-49,-25,-25,45,17,-31,37,25,-40,-35,1,43,-3,24,18,-9,-32,28,-22,-42,-23,19,49,-6,10,-15,-22,30,23,20,4,24,11,-5,19,-23,14,5,-48,-10,-13,-31,-17,34,44,-50,41,-39,28,-32,36,-46,3,35,-36,-37,-31,-7,9,9,29,29,-18,-11,-27,17,-17,3,39,-15,44,-25,-30,-24,25,-37,-24,15,41,-47,33,27,24,-15,-23,38,-36,-38,-20,-10,21,25,-32,20,31,-42,-14,-37,11,41,-36,4,32,-16,30,6,-2,22,37,-46,-9,19,-3,-36,21,24,19,1,37,49,41,7,-10,-41,-24,-30,-33,-21,-17,28,36,-3,49,18,31,28,40,45,0,27,16,7,-39,-38,-326.6
1,22,32,37,-10,-17,23,-46,40,46,-6,49,39,-20,32,-33,13,-24,-48,26,-26,-14,-27,18,-24,34,34,-48,-1,-9,-37,12,-38,12,-2,-32,11,37,39,0,32,-17,-35,20,-21,47,3,43,39,-28,-16,-38,8,7,31,0,-9,-20,-32,40,21,49,-33,-1,-24,15,-17,37,1,-28,-48,50,-29,-33,-15,0,-36,39,-8,-48,27,-7,32,-16,50,-22,1,-44,8,-15,13,46,-17,30,-40,9,-39,-6,-39,-22,16,-36,-23,37,48,13,-14,28,-33,-5,-3,44,38,-22,44,3,-28,-6,10,-4,-4,39,-9,29,-16,2,-46,-5,46,32,24,-23,12,17,-37,10,46,-1,-13,-38,10,34,-45,-3,-39,50,-50,50,-41,-24,-4,5,31,37,-50,-36,-46,-46,10,16,2,50,43,-36,-18,-45,24,-22,-29,-40,-10,31,11,-38,-22,-12,-39,45,-12,37,37,34,-8,17,20,-8,31,-9,-38,-44,-44,-20,22,50,-6,-46,21,34,-18,42,103.8
