 x1, x2, x3, x4, x5, x6, x7, x8, x9, x10, x11, x12, x13, x14, x15, x16, x17, x18, x19, x20, x21, x22, x23, x24, x25, x26, x27, x28, x29, x30, x31, x32, x33, x34, x35, x36, x37, x38, x39, x40, x41, x42, x43, x44, x45, x46, x47, x48, x49, x50, x51, x52, x53, x54, x55, x56, x57, x58, x59, x60, x61, x62, x63, x64, x65, x66, x67, x68, x69, x70, x71, x72, x73, x74, x75, x76, x77, x78, x79, x80, x81, x82, x83, x84, x85, x86, x87, x88, x89, x90, x91, x92, x93, x94, x95, x96, x97, x98, x99, x100, x101, x102, x103, x104, x105, x106, x107, x108, x109, x110, x111, x112, x113, x114, x115, x116, x117, x118, x119, x120, x121, x122, x123, x124, x125, x126, x127, x128, x129, x130, x131, x132, x133, x134, x135, x136, x137, x138, x139, x140, x141, x142, x143, x144, x145, x146, x147, x148, x149, x150, x151, x152, x153, x154, x155, x156, x157, x158, x159, x160, x161, x162, x163, x164, x165, x166, x167, x168, x169, x170, x171, x172, x173, x174, x175, x176, x177, x178, x179, x180, x181, x182, x183, x184, x185, x186, x187, x188, x189, x190, x191, x192, x193, x194, x195, x196, x197, x198, x199, x200,y
1,7,1,-6,25,-30,11,24,44,27,17,7,41,38,26,-45,43,7,32,-27,46,47,23,27,2,27,-30,17,-8,24,-24,-8,47,28,37,21,14,-37,-40,8,40,27,31,-4,-19,-28,2,-27,-4,-17,-37,-9,46,36,34,-3,12,-47,30,-47,-7,-44,-5,-11,0,48,27,-37,-40,37,-13,17,-20,-33,29,11,-44,-20,0,2,-21,13,9,-26,-36,-42,-12,26,-39,-33,-5,-30,40,41,-25,-11,4,-49,-31,15,5,6,48,35,-10,26,-39,-4,23,-23,14,-49,7,39,43,21,47,-20,-3,24,-37,42,44,-47,-2,-32,-8,-48,-30,-23,-17,-9,34,47,42,40,-12,-48,-49,-40,46,15,29,2,-31,21,40,-35,17,-48,39,30,10,-2,33,-42,16,42,27,2,-32,26,43,-49,-12,34,7,26,2,8,37,-36,39,15,16,-43,-49,-29,39,18,-27,27,-3,34,41,47,8,7,38,-50,25,22,26,18,24,30,-33,47,5,-14,262.9
1,5,-43,0,-7,22,32,1,23,-47,-45,-44,43,33,-30,26,-11,-34,-17,46,20,-17,-13,-9,25,-46,31,-30,38,28,26,40,-18,33,-45,-9,-29,38,8,10,7,14,17,-1,-38,37,-25,1,19,-26,-37,-12,-26,0,29,15,-30,10,36,-43,-13,-23,14,-15,26,19,26,47,6,-16,-27,29,14,40,-22,26,-8,-31,-24,27,-7,-11,-36,-17,39,43,49,-42,-32,0,33,-29,27,-38,6,2,31,-18,-35,-47,-18,-12,32,46,44,26,-13,-49,45,13,28,-46,19,8,-47,-27,0,18,-18,-15,-33,31,6,10,43,-38,29,-11,-40,44,-8,-42,48,41,20,7,16,-44,8,-23,-15,-49,48,-47,9,-50,-23,25,19,-25,-41,2,22,16,29,14,-6,7,-48,-30,-34,-39,-22,30,-49,14,-14,-17,20,10,10,-46,11,7,25,-31,-26,18,10,43,43,20,-40,-20,-49,39,44,-39,-39,12,-19,-23,-11,-25,-44,-10,39,-42,24,8,-89.4
1,18,-17,-22,-22,7,19,-37,31,-14,24,-11,45,-41,-1,-26,27,-46,34,38,-35,-38,-32,-41,1,-7,32,42,48,41,-19,-29,8,-20,-1,3,37,35,-18,-17,-30,22,22,32,-3,38,-45,-27,8,6,-40,-11,18,45,-2,-32,-47,-20,26,-50,-30,23,-29,-6,-47,-13,13,6,-29,46,40,-43,17,-23,39,-36,31,11,-47,-12,-34,31,28,0,25,42,18,-5,-29,-40,-5,-43,33,-17,2,2,-14,-36,-42,-27,26,48,-20,-41,41,36,40,22,-4,43,26,-22,23,-31,28,-2,-39,-39,9,49,-29,-47,-44,21,-48,-26,-28,-12,-46,-20,-23,31,44,8,40,35,-7,29,6,5,-13,48,33,-40,-33,10,-26,-22,21,33,-24,9,2,49,-21,5,-28,-33,9,44,-2,37,24,-9,-40,-21,42,-31,24,-37,24,-40,-39,-28,-30,45,32,-40,-28,-32,43,-36,27,-5,30,22,16,18,40,41,11,-47,-7,-50,-40,3,46,-48,-12,19,-111.2
1,32,-39,-4,43,50,-18,37,-3,-7,25,16,-15,6,-42,-4,-49,-3,-39,19,-14,-48,47,-45,-39,47,-35,15,9,34,-48,44,16,31,-11,-26,30,22,28,-23,-36,-32,9,-35,24,-17,-22,25,30,-11,-40,32,-43,-44,37,-31,19,-48,0,-23,2,-32,-29,-33,49,10,-42,-5,48,36,-12,28,-47,47,10,-6,46,38,-32,26,43,45,7,17,-50,-6,2,20,-38,-49,13,14,36,0,-2,35,27,6,46,24,-9,50,-32,-40,46,28,4,7,15,-11,-18,-27,-17,40,40,-50,50,-43,-14,28,25,49,-9,11,-1,5,-39,-25,-40,-44,15,-33,-45,33,45,17,-24,-2,-27,7,3,-28,31,37,-39,-14,37,27,-6,39,4,-32,37,11,29,-49,-34,40,43,43,12,-26,-40,-17,-44,-46,16,50,-32,40,6,22,-39,-14,-26,39,-11,27,15,33,15,35,17,-33,-5,-38,36,11,18,28,4,-20,18,-20,-21,25,-50,46,-10,35,-144.4
1,1,46,6,-22,49,-4,-34,-13,-28,-3,36,37,-19,-32,21,26,-20,6,-47,49,-17,-27,45,-49,3,40,-8,-31,35,32,-47,-15,-7,10,-21,-9,-45,-5,-6,45,8,46,-3,5,-36,-33,-19,-6,23,-50,-42,23,-27,19,24,-8,9,32,11,-41,-21,14,-39,22,40,-10,30,12,2,-27,6,-41,-31,-48,15,50,-30,12,-7,43,-22,-32,15,1,3,-46,43,28,2,3,38,31,-34,15,-31,-44,21,15,18,-28,4,40,49,23,42,13,-12,28,41,32,21,-32,16,-49,19,-32,-44,-23,13,-26,30,-34,22,12,31,41,-16,1,-29,18,-10,25,7,-12,-36,-35,-50,2,43,41,50,13,25,15,-19,-7,0,-47,-14,-38,-23,32,45,49,-7,25,5,-6,42,26,28,-19,1,-15,19,15,0,-15,-34,-42,42,-34,22,16,-3,19,25,47,22,-40,25,49,42,19,48,-49,-41,-32,-39,-49,45,39,49,-5,40,18,-41,-45,19,-58.2
1,42,-36,11,-43,2,-24,-29,-30,18,34,42,28,9,6,-14,44,-31,-47,20,-12,31,-13,-18,19,-15,27,9,19,2,14,-12,-7,28,15,-33,46,41,-12,-35,-26,-29,23,-48,-4,-21,-46,-44,-2,24,-8,36,4,29,-33,-28,30,10,-3,-1,-39,28,3,-29,-29,-33,-46,-33,24,-42,-18,49,46,-45,17,-42,-50,21,31,-2,-40,-28,-16,14,-50,-33,2,30,28,16,45,5,-7,-3,26,14,14,-4,-3,-46,-30,-4,-48,-34,-33,19,41,-33,-45,21,15,-35,43,15,29,9,33,47,-12,10,12,50,-36,-46,-4,7,-15,27,19,-2,31,40,44,33,22,-40,-33,12,44,-28,-18,9,-13,41,40,32,-1,22,28,3,-19,-10,-32,-38,-40,15,19,-5,-43,-47,44,4,43,3,-14,14,14,-31,42,-27,-9,-27,-2,-6,30,-12,-25,45,-41,-48,-36,-43,-42,-18,36,-31,13,4,-20,20,7,-27,-27,-34,27,-25,30,-44,-6,22,-119.2
1,46,1,11,-6,45,-43,32,-31,-49,7,39,32,14,47,-36,-1,32,27,19,-38,-37,43,-49,-48,-42,-6,45,4,-34,-46,42,-38,6,-31,6,0,43,-13,-14,44,44,41,-8,-26,3,6,-11,-15,49,-42,-3,28,17,-36,31,-9,9,25,11,25,29,3,37,-50,-12,-42,-33,-20,-5,3,40,-45,-41,-19,46,12,3,-16,47,2,-42,-41,-21,25,-26,26,-35,-1,-34,-7,-27,12,46,27,12,50,35,-5,46,47,14,35,18,23,33,13,-15,-15,13,48,3,22,24,-1,-38,48,41,45,-38,-43,-13,-15,19,49,-39,47,48,13,-8,43,9,-45,-7,43,-5,42,5,30,44,34,-7,-4,5,-34,11,18,30,2,-22,42,-25,15,44,44,13,21,6,-24,-17,14,35,8,-14,-23,0,31,36,21,-24,29,5,19,-26,-41,36,2,-7,-19,-47,21,-27,-22,-15,-34,38,14,37,-41,40,37,24,24,-6,26,18,11,6,3,-19,144.8
1,32,-19,36,-34,-29,12,18,-11,21,50,-8,-8,39,-14,-7,21,40,24,-27,50,13,-41,-11,-47,-30,-36,-13,31,-14,6,28,34,3,14,50,-10,42,-16,30,12,-17,38,20,38,-26,30,8,30,3,-3,29,32,-27,34,1,-7,14,38,40,50,-41,17,33,12,47,-1,-48,4,33,32,-34,32,19,2,19,9,48,43,-11,0,-45,-33,49,-22,18,-35,-13,-19,20,43,48,29,-24,-4,-9,39,45,-7,-7,-7,-26,-25,41,9,27,9,-32,25,-33,7,41,40,-10,5,-33,-43,21,-29,-45,-10,-37,-48,35,-11,-36,-25,-22,26,18,21,-32,8,12,-41,34,-12,-16,-49,29,-32,8,20,-43,14,41,41,-12,-23,-39,-7,17,-25,-39,-32,-20,-25,-7,8,17,28,45,2,-49,6,-23,35,11,11,36,-11,-5,-41,25,-32,24,16,-41,-39,43,37,-30,-24,-39,48,-6,-8,39,3,16,6,-20,11,-43,49,33,-16,33,-7,11,365.5
1,-15,-1,-44,-6,-27,41,34,5,50,11,-36,37,-3,-44,14,-6,-34,22,-17,19,-12,39,16,15,46,14,-3,-21,-4,7,40,-3,-45,12,8,-22,3,-9,0,-32,19,14,21,-35,20,-15,10,36,23,9,-30,-40,-3,36,-9,-42,-35,5,-13,-22,-39,43,25,-34,-29,-18,-40,-10,-10,10,-26,-42,40,46,-27,-25,47,-1,27,19,-43,48,-4,-30,-1,37,-22,15,-43,-19,43,-32,41,17,-50,28,50,-39,-33,-45,-13,-9,-37,44,-48,-48,-32,15,-32,46,-50,42,9,-4,-38,-43,49,-44,-12,-44,-12,-20,41,45,48,42,22,13,19,5,18,22,12,-3,15,15,-35,34,46,-17,-5,46,-25,20,-9,-47,-7,-44,-41,32,-38,-3,-39,19,-43,25,10,29,-47,-22,-17,-13,-50,46,0,-19,-24,16,-36,-29,49,-25,-33,40,11,-26,43,-46,-20,-48,36,-42,-35,13,28,-27,-12,-47,-49,-43,-18,-49,-39,49,47,11,-21,39,-24,-8.9
1,-40,-41,-25,-49,43,-36,13,-33,-43,-17,-37,26,-32,-28,41,-3,16,30,35,19,-2,9,17,-1,20,15,-39,-20,11,50,7,21,25,-2,-12,18,-22,-50,1,-49,-17,14,27,-33,36,-16,15,1,-37,-35,37,11,-10,3,-41,-41,35,37,-44,-5,36,-21,32,-23,27,-31,45,-46,37,-5,23,36,25,-1,20,11,-1,-16,28,13,-35,-20,40,6,34,16,-19,18,2,-13,29,-46,16,10,-19,-42,-5,42,30,48,-48,2,34,27,17,-31,-47,-34,3,-2,-5,-16,28,-50,6,11,16,38,45,35,41,23,39,-27,49,36,-19,-6,-7,27,-43,-39,45,41,38,12,26,8,-6,-22,-45,5,-21,33,5,35,-40,-29,-12,-46,22,-21,-6,-24,-32,-8,-39,-35,2,-30,43,10,-19,37,-34,35,-36,43,-42,8,37,-37,-38,32,13,-16,-17,23,-29,21,-7,43,16,37,-32,34,-21,46,50,-3,32,8,23,-38,-6,6,13,9,-36,-44.4
