 x1, x2, x3, x4, x5, x6, x7, x8, x9, x10, x11, x12, x13, x14, x15, x16, x17, x18, x19, x20, x21, x22, x23, x24, x25, x26, x27, x28, x29, x30, x31, x32, x33, x34, x35, x36, x37, x38, x39, x40, x41, x42, x43, x44, x45, x46, x47, x48, x49, x50, x51, x52, x53, x54, x55, x56, x57, x58, x59, x60, x61, x62, x63, x64, x65, x66, x67, x68, x69, x70, x71, x72, x73, x74, x75, x76, x77, x78, x79, x80, x81, x82, x83, x84, x85, x86, x87, x88, x89, x90, x91, x92, x93, x94, x95, x96, x97, x98, x99, x100,y
1,-36,-27,-12,-12,4,-22,46,38,23,-11,-3,40,3,-10,38,-49,8,-21,-23,46,-39,10,50,35,16,0,-26,-35,-41,-22,-41,40,1,-37,-22,21,-42,-27,8,31,12,21,21,-36,-39,8,33,-15,3,-41,48,14,-15,47,-1,-50,-3,-11,32,6,-17,7,-39,34,21,-11,5,29,12,29,-25,40,0,46,21,-23,-31,3,-22,22,-22,-25,-48,13,39,-33,-21,-15,-28,27,7,6,-17,18,-45,20,24,10,-2,-31.1
1,-15,-45,24,-25,-29,-15,12,-36,5,-36,-8,43,-8,-16,11,21,-28,28,50,-27,17,26,30,-28,-42,-37,-23,29,37,4,43,39,9,-18,30,-4,18,-9,10,39,5,-49,-3,13,-49,25,-17,-27,-32,49,-4,35,24,42,-44,-2,22,-50,43,-26,4,2,-38,29,34,42,-26,-33,49,0,22,-31,-33,36,32,-31,10,31,-8,28,29,5,13,-32,-38,-15,-17,0,-15,-25,25,5,-7,37,-17,-23,-5,-27,-40,-42.1
1,-41,23,33,-21,7,18,27,26,-23,8,34,21,-48,-46,-17,38,-33,19,-30,-17,20,-39,-43,-25,5,11,-26,-2,22,-2,8,31,37,-44,-41,-7,24,37,35,17,-40,19,-12,29,-11,-13,16,-28,22,2,6,-8,14,13,-17,35,-27,7,49,45,21,6,26,-26,-21,1,-17,-48,-47,-32,-14,-37,3,-10,9,42,-7,41,31,-35,-7,-14,-27,23,15,6,-27,39,-38,-29,-1,0,-7,41,24,22,-42,-44,-9,11.8
1,-39,41,27,42,-7,33,0,-49,-25,-10,32,-10,33,34,13,-29,-2,35,-6,-48,14,15,2,-37,-42,-42,37,30,-34,9,-30,45,0,13,36,9,-5,-15,-24,-13,-9,24,27,41,7,-44,-39,22,41,-28,24,-30,37,42,-17,11,17,36,-43,33,-5,44,27,11,7,-22,36,18,-21,-38,-46,21,2,-2,11,-41,-30,-12,-3,27,10,-30,48,-37,29,47,-10,-5,33,-3,44,44,-9,21,-30,14,15,-45,48,-66.9
1,45,34,19,15,-14,33,42,-39,-48,46,8,-5,-28,-6,-42,-15,-28,-45,-9,17,4,5,11,-3,12,48,17,-25,12,-12,39,-28,-28,7,37,8,-11,-6,-15,-43,-44,43,-31,-22,-14,-23,-21,-25,49,20,42,2,-26,-32,15,36,-35,48,27,-6,-14,16,16,8,39,-31,32,45,-21,-34,18,-15,25,37,-21,27,31,8,-49,29,45,10,-19,-32,28,46,21,10,44,-3,20,46,29,-15,-31,18,-30,-50,12,81.3
1,-34,33,-21,1,7,33,31,50,13,-46,-49,-9,49,-23,-12,-33,-46,-50,4,-20,10,-50,50,5,-4,-49,24,30,38,-10,-9,-47,-28,-14,-29,-5,35,18,-6,-3,22,-39,5,21,-12,43,4,-41,9,-43,-45,-32,24,-45,23,-31,23,-38,49,10,2,-45,-20,24,-42,1,35,43,-32,46,-44,6,23,11,-24,-39,-31,-4,37,29,-31,42,47,44,13,-14,29,-15,-2,-6,12,-50,-35,8,-10,-27,-42,42,33,-34
1,43,37,5,-2,9,-35,-9,-14,-50,3,-28,29,23,31,26,16,-7,28,-40,-5,-25,4,23,42,20,-20,-18,9,-46,40,-43,13,26,12,27,-50,-7,34,-13,-6,-13,-25,-28,-41,-45,14,-9,-35,-9,1,-24,-17,22,15,-26,-9,45,-28,16,15,-39,24,44,37,-49,20,4,-5,4,41,39,7,32,27,16,4,-9,-44,-15,-2,-27,11,31,45,-25,22,-49,36,44,18,-34,-45,-43,-41,8,-42,29,-39,-31,-42.4
1,49,18,-43,5,0,1,37,-47,42,43,-46,-45,33,15,3,27,6,-26,-5,-43,-33,29,40,39,36,49,-37,10,-7,41,-4,-42,9,-31,13,25,20,0,-6,-23,-42,-2,-17,7,29,36,-50,-50,26,-5,-43,43,-27,47,-2,25,11,11,-50,-47,1,-4,28,26,-18,-9,0,-49,7,10,-21,-19,24,-22,5,2,30,5,2,5,50,-25,-37,39,-29,11,-21,-2,38,-21,-32,-45,-8,46,31,24,-48,48,25,34.8
1,-25,7,20,-27,-19,14,28,-1,-41,-18,-49,14,48,-24,-6,36,-36,21,-36,-22,9,-41,-4,14,1,-8,-40,41,-40,-43,-18,-14,-19,-49,9,-22,-18,-48,27,-9,-16,-6,22,48,-13,-35,-1,-33,36,13,-5,-40,-12,8,24,6,16,1,-4,26,8,28,28,5,-4,-48,-1,-6,-46,43,35,-46,-14,6,-49,-11,-13,0,-28,40,29,18,50,-33,-25,-10,23,7,41,35,-18,-36,-21,-40,20,25,29,-32,35,-171.6
1,34,-40,19,38,-37,42,6,-32,-22,-45,-9,34,35,25,34,18,16,-27,-44,-28,30,41,4,44,36,-20,13,-24,-41,-2,-40,9,-26,30,-4,-47,-13,18,-28,-19,24,13,-35,-26,-13,49,42,19,38,14,41,17,-30,-6,10,-44,-9,40,-18,-34,-47,-7,25,44,39,37,48,-25,5,-31,6,45,-2,-13,-32,1,-15,26,-31,39,-11,-41,5,-25,-31,32,-19,-24,-13,-20,-42,-10,-11,33,-17,-23,-14,47,-32,18.4
