 x1, x2, x3, x4, x5, x6, x7, x8, x9, x10, x11, x12, x13, x14, x15, x16, x17, x18, x19, x20, x21, x22, x23, x24, x25, x26, x27, x28, x29, x30, x31, x32, x33, x34, x35, x36, x37, x38, x39, x40, x41, x42, x43, x44, x45, x46, x47, x48, x49, x50, x51, x52, x53, x54, x55, x56, x57, x58, x59, x60, x61, x62, x63, x64, x65, x66, x67, x68, x69, x70, x71, x72, x73, x74, x75, x76, x77, x78, x79, x80, x81, x82, x83, x84, x85, x86, x87, x88, x89, x90, x91, x92, x93, x94, x95, x96, x97, x98, x99, x100,y
1,15,-9,31,-38,-19,18,-20,33,-18,-46,-16,-3,0,5,-29,-8,27,-26,50,16,-1,-45,31,3,-32,29,-46,41,-17,-25,-44,14,-18,4,-7,13,-29,23,-38,-31,-6,-4,16,44,17,37,-48,-40,-39,18,26,-24,-11,-28,-5,7,-50,-1,-3,-16,-9,-31,14,23,23,-44,-48,10,30,-36,-4,40,-24,-39,33,10,15,1,20,26,-32,-39,18,7,-17,-38,30,-17,11,43,-17,18,-38,48,-9,1,20,-41,-39,-42.4
1,-35,-27,7,-46,-35,-16,4,25,49,-46,-40,-10,-27,38,-43,-4,-30,36,-24,-30,-37,-32,-31,31,47,33,38,-2,3,47,-25,18,36,-2,-11,-49,32,43,26,-3,47,3,37,36,-10,11,49,-23,-4,-26,-3,9,-42,16,-10,22,-35,44,-31,18,41,-40,-49,26,8,-10,-7,-45,49,36,2,12,-12,-45,-3,28,16,-39,-46,28,-15,-33,-47,-40,0,-41,32,15,-48,17,49,43,27,50,-15,-16,-44,28,-45,-79.6
1,-46,13,8,16,-50,-21,30,-5,11,41,-35,-12,43,50,-43,19,-1,-34,0,30,-31,33,28,-39,9,-7,-38,9,-1,41,14,-30,-31,38,2,37,33,-19,-19,-7,39,-38,-2,31,-39,5,-1,-24,22,15,-45,7,-3,33,-16,-45,-24,-3,-20,-9,-47,44,11,-28,-2,-37,-42,-20,-40,-45,-10,49,-32,38,-5,46,-42,44,39,-4,8,44,-48,21,-7,-13,-8,-15,34,22,-8,3,-18,-47,25,30,33,0,-41,32.7
1,9,5,-1,-26,-11,-48,19,-15,28,-21,-27,-27,3,33,-24,-26,-25,-21,16,-24,29,-12,19,-19,20,-12,22,-35,37,-29,-26,-39,27,-10,-15,-35,-42,-46,-34,36,-17,-45,26,36,39,18,26,30,47,-8,-44,25,-4,-9,22,-35,29,-7,47,-19,15,37,-8,-43,-24,28,-28,-49,-2,-11,3,31,-6,-22,-18,49,46,-42,29,8,-34,1,49,12,42,20,-7,-14,30,-11,17,-6,-25,-42,1,-32,2,-11,36,-72.5
1,50,-6,-12,-4,5,-17,29,3,45,3,48,3,19,-2,-33,-20,-45,38,23,-9,-17,28,-43,27,-48,33,44,-30,-16,49,-45,-16,-7,-40,30,14,-7,-26,33,-13,27,31,6,-39,45,24,-9,-50,-23,30,-9,10,7,-35,-48,10,48,12,-4,48,-24,-32,48,19,-22,-6,49,-13,18,32,-10,-39,12,47,-28,6,-14,-20,-28,-21,-41,14,5,-17,-5,-27,9,-42,35,21,-45,27,39,-47,-4,33,-3,-40,36,58.9
1,31,42,-24,8,-31,39,-3,26,-26,27,14,-31,2,44,24,1,-12,47,-41,-4,-3,-3,-32,-27,-49,-29,-15,35,-16,-4,20,31,-13,46,-45,7,34,2,49,24,45,-22,43,-38,-28,-18,14,10,-22,-11,23,-9,2,41,15,4,28,16,-12,28,-39,24,-26,-35,-14,-21,-12,36,-3,-48,10,-43,-20,-32,-30,-32,1,0,-5,-5,5,-33,37,-43,24,-33,11,-33,33,15,45,11,-46,35,26,-10,31,30,-24,33.8
1,-23,32,2,-49,28,-14,-29,47,37,-13,-9,49,8,-26,1,-19,48,18,42,-36,0,-28,25,27,-23,-25,2,17,-45,48,9,50,29,-40,-50,-27,-37,38,36,50,41,-24,14,-2,-34,-36,30,30,32,-13,10,49,10,-16,25,3,-25,44,36,-19,41,-5,47,-14,-29,47,9,-16,0,-6,-50,-10,-14,-20,38,2,-5,-17,-19,43,21,41,41,47,41,-18,-1,32,-25,-50,-38,32,-5,25,-33,-17,21,-8,-17,-73
1,37,2,-17,-24,38,14,31,-45,25,-37,-48,17,0,9,-26,-4,-35,6,11,48,-3,12,26,-22,23,1,-38,22,38,4,-45,25,23,-46,17,-24,-16,-3,-18,-42,-23,-50,-8,27,-24,16,-27,-9,38,0,-46,-50,-39,-3,45,1,48,-44,39,1,-23,44,42,50,15,9,42,49,22,-27,24,49,41,-35,26,33,-3,15,40,-50,-36,45,-50,43,-9,45,-41,-46,18,48,-29,11,42,-37,-24,6,-12,-33,-30,36.7
1,26,-43,10,-9,48,-9,-34,-4,38,-3,-15,4,11,-21,4,-31,-14,-35,-22,-44,33,-24,45,-41,34,24,-15,-45,-39,2,-25,3,9,2,44,-28,43,26,18,31,-28,-47,-16,0,49,5,19,-49,20,14,24,-32,40,18,-23,23,-9,-22,-6,-32,30,19,-12,-45,37,-19,44,30,-43,-22,-24,46,48,-24,-5,12,31,31,-21,-34,-6,-47,-50,-17,-13,44,22,29,-29,-35,13,18,0,-50,-11,-13,-18,49,-34,-173.3
1,-45,-24,-42,-50,40,-16,-38,2,-35,43,31,48,-48,34,49,-15,-29,8,23,16,30,4,-22,-37,20,46,2,-44,44,0,39,49,-7,47,15,-18,48,-7,34,-38,-15,15,26,-13,-36,-10,-12,-49,49,27,-17,28,-20,-22,41,17,-27,-42,23,-34,-26,-22,31,17,41,-39,50,38,5,-1,16,6,30,-8,10,45,-2,14,12,-4,-9,46,40,-13,-27,-4,-47,-4,4,-7,-22,-5,-13,25,-39,-23,36,27,32,-109.9
